FullNameCache,Country,Locality,Latitude,Longitude,CollectionDateBegin,outlier_detected,outlier_status,outlier_confidence,outlier_severity,outlier_score,outlier_primary_detector,outlier_primary_field,outlier_model_count,llm_flagged,outlier_reason,outlier_summary
Senecio nemorensis subsp. glabratus (Herborg) Oberpr.,Germany,"Bayern, Landkreis Bad Tölz-Wolfratshausen, Blomberg südwestlich von Bad Tölz, in der Umgebung der Talstation des Lifts auf den Blomberg, Alt.: 740m.",47.72417068481445,11.54028034210205,1988-09-07,True,confirmed,100,high,1.0,hdbscan_geo_detector,"decimalLatitude,decimalLongitude",1,False,Coordinate pair does not belong to a dense geographic cluster (HDBSCAN).,"High outlier detected in decimalLatitude,decimalLongitude by hdbscan_geo_detector."
"Senecio ovatus (G. Gaertn., B. Mey. & Scherb.) Willd.",Germany,"Bayern, Landkreis Rosenheim, Mangfalltal bei Bruckmühl, Truffberg südlich von Vagen, Alt.: 560m.",47.874168395996094,11.873330116271973,1988-09-14,True,confirmed,100,high,1.0,hdbscan_geo_detector,"decimalLatitude,decimalLongitude",1,False,Coordinate pair does not belong to a dense geographic cluster (HDBSCAN).,"High outlier detected in decimalLatitude,decimalLongitude by hdbscan_geo_detector."
Senecio nemorensis subsp. glabratus (Herborg) Oberpr.,Germany,"Bayern, Landkreis Rosenheim, Maxlrain nördlich Bad Aibling, Schloßholz nördlich von Maxlrain, Lichtungen östlich der Strasse nach Beyharting ca. 1 km nördlich von Maxlrain, Alt.: 490m.",47.92417144775391,11.956669807434082,1988-09-14,True,confirmed,100,high,1.0,hdbscan_geo_detector,"decimalLatitude,decimalLongitude",1,False,Coordinate pair does not belong to a dense geographic cluster (HDBSCAN).,"High outlier detected in decimalLatitude,decimalLongitude by hdbscan_geo_detector."
"Senecio ovatus (G. Gaertn., B. Mey. & Scherb.) Willd.",Germany,"Bayern, Landkreis Traunstein, Chiemgauer Alpen, Nord-Seite des Rauschberges bei Inzell, Wald an der Deutschen Alpenstrasse ca. 2 km östlich von Aschenau, Forstweg der gegen den Fahrriesbodenrücken führt, Alt.: 800m.",47.774169921875,12.706669807434082,1988-09-17,True,confirmed,100,high,1.0,hdbscan_geo_detector,"decimalLatitude,decimalLongitude",1,False,Coordinate pair does not belong to a dense geographic cluster (HDBSCAN).,"High outlier detected in decimalLatitude,decimalLongitude by hdbscan_geo_detector."
"Senecio ovatus (G. Gaertn., B. Mey. & Scherb.) Willd.",Germany,"Bayern, Landkreis Landsberg am Lech, Staatsforst Bayerdießen, Strasse von Dießen am Ammersee nach Rott, 4 km westlich von Dießen, zwischen Jungfernberg und Schloßberg, Alt.: 700m.",47.92417144775391,11.04028034210205,1988-08-28,True,confirmed,100,high,1.0,hdbscan_geo_detector,"decimalLatitude,decimalLongitude",1,False,Coordinate pair does not belong to a dense geographic cluster (HDBSCAN).,"High outlier detected in decimalLatitude,decimalLongitude by hdbscan_geo_detector."
"Senecio ovatus (G. Gaertn., B. Mey. & Scherb.) Willd.",Germany,"Bayern, Landkreis Weilheim Schongau, Schongauer Forst nordöstlich von Schongau, Strasse von Herzogsägmühle nach Ried, zum Lech hin abfallender Hang 1 km nördlich von Herzogsägmühle, Alt.: 730m.",47.82416915893555,10.956939697265623,1988-08-28,True,confirmed,100,high,1.0,hdbscan_geo_detector,"decimalLatitude,decimalLongitude",1,False,Coordinate pair does not belong to a dense geographic cluster (HDBSCAN).,"High outlier detected in decimalLatitude,decimalLongitude by hdbscan_geo_detector."
"Senecio ovatus (G. Gaertn., B. Mey. & Scherb.) Willd.",Germany,"Bayern, Landkreis Weilheim Schongau, Ostersee-Gebiet, Lauterbacher Wald, an der Strasse von Hohenberg nach Seeshaupt, Fichtenwald ca. 1 km nördlich von Hohenberg, Alt.: 650m.",47.82416915893555,11.29028034210205,1988-08-28,True,confirmed,100,high,1.0,hdbscan_geo_detector,"decimalLatitude,decimalLongitude",1,False,Coordinate pair does not belong to a dense geographic cluster (HDBSCAN).,"High outlier detected in decimalLatitude,decimalLongitude by hdbscan_geo_detector."
"Senecio ovatus (G. Gaertn., B. Mey. & Scherb.) Willd.",Germany,"Bayern, Landkreis Weilheim-Schongau, Straußberg 4 km SSE Peiting, Ost- und Nord-Hänge, Alt.: 760-780m.",47.774169921875,10.956939697265623,1988-08-31,True,confirmed,100,high,1.0,hdbscan_geo_detector,"decimalLatitude,decimalLongitude",1,False,Coordinate pair does not belong to a dense geographic cluster (HDBSCAN).,"High outlier detected in decimalLatitude,decimalLongitude by hdbscan_geo_detector."
"Senecio ovatus (G. Gaertn., B. Mey. & Scherb.) Willd.",Germany,"Bayern, Landkreis Rosenheim, Samerberg südöstlich von Rosenheim, Nordseite des Dandlberges, Waldränder westlich von Wiesholzen, Alt.: 720m.",47.774169921875,12.206669807434082,1988-09-08,True,confirmed,100,high,1.0,hdbscan_geo_detector,"decimalLatitude,decimalLongitude",1,False,Coordinate pair does not belong to a dense geographic cluster (HDBSCAN).,"High outlier detected in decimalLatitude,decimalLongitude by hdbscan_geo_detector."
"Senecio ovatus (G. Gaertn., B. Mey. & Scherb.) Willd.",Germany,"Bayern, Landkreis Traunstein, Chiemsee-Gebiet, Wälder südöstlich von Grabenstätt, Wälder an der Strasse von Grabenstätt nach Holzhausen unterhalb von Zeiering, ca. 500 m nordwestlich von Zeiering, Alt.: 580m.",47.82416915893555,12.539999961853027,1988-09-08,True,confirmed,100,high,1.0,hdbscan_geo_detector,"decimalLatitude,decimalLongitude",1,False,Coordinate pair does not belong to a dense geographic cluster (HDBSCAN).,"High outlier detected in decimalLatitude,decimalLongitude by hdbscan_geo_detector."
"Senecio ovatus (G. Gaertn., B. Mey. & Scherb.) Willd.",Germany,"Bayern, Landkreis Bad Kissingen, Rhön, Römerhager Forst Nord, Strasse von Speicherz nach Volkers, Kehre östlich der Autobahn-Anschlußstelle, in den Luchsgrund abfallende Hänge, Alt.: 450-500m.",50.3738899230957,9.79028034210205,1988-07-20,True,confirmed,100,high,1.0,hdbscan_geo_detector,"decimalLatitude,decimalLongitude",1,False,Coordinate pair does not belong to a dense geographic cluster (HDBSCAN).,"High outlier detected in decimalLatitude,decimalLongitude by hdbscan_geo_detector."
"Senecio ovatus (G. Gaertn., B. Mey. & Scherb.) Willd.",Germany,"Bayern, Landkreis Bad Neustadt an der Saale, Rhön, Fladungen, Büchser Wald zwischen Brüchs und Weimarsschmieden nordöstlich von Fladungen, Alt.: 490m.",50.52389144897461,10.206939697265623,1988-07-21,True,confirmed,100,high,1.0,hdbscan_geo_detector,"decimalLatitude,decimalLongitude",1,False,Coordinate pair does not belong to a dense geographic cluster (HDBSCAN).,"High outlier detected in decimalLatitude,decimalLongitude by hdbscan_geo_detector."
"Senecio ovatus (G. Gaertn., B. Mey. & Scherb.) Willd.",Germany,"Bayern, Landkreis Schweinfurt, Schweinfurter Becken, Ansbach-Wald zw. Heiderfeld und Gernach, Alt.: 220m.",49.9738883972168,10.206939697265623,1988-07-21,True,confirmed,100,high,1.0,hdbscan_geo_detector,"decimalLatitude,decimalLongitude",1,False,Coordinate pair does not belong to a dense geographic cluster (HDBSCAN).,"High outlier detected in decimalLatitude,decimalLongitude by hdbscan_geo_detector."
Leucanthemum ircutianum subsp. ircutianum DC.,Germany,"Brandenburg, NW Schilda",51.61444091796875,13.368060111999512,2001-06-16,True,confirmed,100,high,1.0,hdbscan_geo_detector,"decimalLatitude,decimalLongitude",1,False,Coordinate pair does not belong to a dense geographic cluster (HDBSCAN).,"High outlier detected in decimalLatitude,decimalLongitude by hdbscan_geo_detector."
Trisetum flavescens subsp. flavescens (L.) P. Beauv.,Germany,"Lkr. Weilheim-Schongau, N Prem",47.68278121948242,10.802220344543455,2001-07-24,True,confirmed,100,high,1.0,hdbscan_geo_detector,"decimalLatitude,decimalLongitude",1,False,Coordinate pair does not belong to a dense geographic cluster (HDBSCAN).,"High outlier detected in decimalLatitude,decimalLongitude by hdbscan_geo_detector."
Campanula rotundifolia L.,Germany,"Bayern, Weilheim-Schongau, Seeshaupt (Bay 173)",47.5533332824707,11.294166564941406,2001-08-06,True,confirmed,100,high,1.0,hdbscan_geo_detector,"decimalLatitude,decimalLongitude",1,False,Coordinate pair does not belong to a dense geographic cluster (HDBSCAN).,"High outlier detected in decimalLatitude,decimalLongitude by hdbscan_geo_detector."
Acer negundo L.,Germany,"Germany: Brandenburg. Lkr. Elbe Elster, SW Wahrenbrück (Bra 240). Krautfluren, Ackerrand, 90 m. 2001-06-16, Leg.: R. Eisenblätter & E. Willing 12.742 D.",51.5,13.342778205871582,2001-06-16,True,confirmed,100,high,1.0,hdbscan_geo_detector,"decimalLatitude,decimalLongitude",1,False,Coordinate pair does not belong to a dense geographic cluster (HDBSCAN).,"High outlier detected in decimalLatitude,decimalLongitude by hdbscan_geo_detector."
Impatiens sp.,Germany,"Germany: Brandenburg. SW Potsdam, E Caputh, Kiefernforst, Silikat. 2001-07-22, Leg.: Dürbye/Kirchhoff 1302.",52.34666442871094,13.035364151000977,2001-07-22,True,confirmed,100,high,1.0,hdbscan_geo_detector,"decimalLatitude,decimalLongitude",1,False,Coordinate pair does not belong to a dense geographic cluster (HDBSCAN).,"High outlier detected in decimalLatitude,decimalLongitude by hdbscan_geo_detector."
Arenaria serpyllifolia,Germany,"Germany: Bayern. Bayern, Lkr. Bad-Tölz-Wolfratshausen, SW Bichl (Bay 139) Ruderal- und Krautfluren im Straßenbereich, 607 m, MTB 8234/3. 2001-07-29, Leg.: Rita & Eckhard Willing.",47.719200134277344,11.0,2001-07-29,True,confirmed,100,high,1.0,hdbscan_geo_detector,"decimalLatitude,decimalLongitude",1,False,Coordinate pair does not belong to a dense geographic cluster (HDBSCAN).,"High outlier detected in decimalLatitude,decimalLongitude by hdbscan_geo_detector."
