HerbariumID,Bild,DB,Family,FullNameCache,Anmerkungen,Sammlerteam,Sammelnummer,CollectionDateBegin,CollectionDateEnd,Country,Locality,TitelEtikett,Expeditionsangabe,ShowOnMap,Latitude,Longitude,FundortUNdOeko,NameCache,Genus,Identifier,Barcode,StableURI
B101171914,https://iiif.jacq.org/b/?manifest=https://herbarium.bgbm.org/object/B101171914/manifest.json,JACQ,PAPAVERACEAE,Papaver hybridum L.,PRN2021-013; MTB: 4241/3/2/4; GK rechts/hoch: 4539031/5732554,"Willing,E.",31173 D,2020-07-03,,Germany,LK Wittenberg; Ochsenkopf,,,https://www.openstreetmap.org/?mlat=51.7258&mlon=12.5633#map=15/51.7258/12.5633,51.725830078125,12.563329696655272,,Papaver hybridum,Papaver,E.Willing,B 10 1171914,https://herbarium.bgbm.org/object/B101171914
B700008199,,JACQ,PYRONEMATACEAE,Octospora coccinea (P. Crouan & H. Crouan) Brumm.,,"Benkert,D.",s.n.,,,Germany,"Wartburgkreis, nordwestlich Creuzburg, oberhalb des Lambertsgrundes",,,,,,,Octospora coccinea,Octospora,D. Benkert,B 70 0008199,https://herbarium.bgbm.org/object/B700008199
B100463806,https://iiif.jacq.org/b/?manifest=https://herbarium.bgbm.org/object/B100463806/manifest.json,BGBM,CAMPANULACEAE,Campanula sibirica L. subsp. sibirica,"GBOL, Blattmaterial entnommen; Georeferenzierung nachträglich","Bässler,M.",s. n.,1974-06-17,,Germany,"Germany: Brandenburg, Kreis Seelow, Südhang des Wilden Berges an der Bahnstrecke zwischen Seelow und Dolgelin. 17.06.1974, Leg.: M. Bässler s. n. ex herb. / ded. : ex Herbarium BHU.",,,https://www.openstreetmap.org/?mlat=52.5261&mlon=14.4025#map=15/52.5261/14.4025,52.5261116027832,14.40250015258789,"Germany: Brandenburg, Kreis Seelow, Südhang des Wilden Berges an der Bahnstrecke zwischen Seelow und Dolgelin.",Campanula sibirica subsp. sibirica,Campanula,R. Hand,B 10 0463806,https://herbarium.bgbm.org/object/B100463806
B200175194,https://image.bgbm.org/images/internal/HerbarThumbs/B200175194_1700,VVis,,Calapidovium officinale L.,[MULTIPLE BARCODES] scr. L. C. Treviranus. MUSEUM BOTANICUM BEROLINENSE Außerrheinisches Herbar des Naturhistorischen Vereins für die Rheinlande und Westfalen Herbar L. C. Treviranus Mus. Bot. Berol. Mus. bot. Berol. M001246 BGBM Botanischer Garten & Botanisches Museum Berlin,"Rohde,C.",9455,,,Germany,"North Rhine-Westphalia, , Luiisburgi",,,,,,,Calapidovium officinale,Calapidovium,L. C. Treviranus,B 20 0175194,https://herbarium.bgbm.org/object/B200175194
B180020331,,BGBM,CARYOPHYLLACEAE,Spergula morisonii Boreau,,"Raus,T.",,2004-05-10,,Germany,"Germany: Mecklenburg-Vorpommern, Uecker-Randow (Kreis), Altwarp. Silikat. Alt.: 5m. 10.05.2004, Leg.: T. Raus s.n.",,,,,,"Germany: Mecklenburg-Vorpommern, Uecker-Randow (Kreis), Altwarp. Silikat.",Spergula morisonii,Spergula,,B 18 0020331,https://herbarium.bgbm.org/object/B180020331
B100088050,https://iiif.jacq.org/b/?manifest=https://herbarium.bgbm.org/object/B100088050/manifest.json,JACQ,ASTERACEAE,Hieracium laevigatum subsp. eugymnocranum Schack & Zahn,,"Schack,H.",s.n.,1931-08-05,,Germany,"Voigtland, Gebüsch am Bahndamm an der Göttschlatbrücke bei Netschkau,400 m",,,,,,,Hieracium laevigatum subsp. eugymnocranum,Hieracium,K. H. Zahn,B 10 0088050,https://herbarium.bgbm.org/object/B100088050
JACQID1075783,,JACQ,JUNCACEAE,Juncus tenuis Willd.,MTB: 4039/3/2/1,"Willing,R. & Willing,E.",25988 D,2009-07-20,,Germany,"Sachsen-Anhalt, NW Streetz",,,https://www.openstreetmap.org/?mlat=51.9433&mlon=12.2131#map=15/51.9433/12.2131,51.943328857421875,12.21306037902832,,Juncus tenuis,Juncus,E.Willing,JACQ-ID 1075783,https://herbarium.bgbm.org/object/JACQID1075783
B100408750,https://iiif.jacq.org/b/?manifest=https://herbarium.bgbm.org/object/B100408750/manifest.json,BGBM,GRAMINEAE,Bromus hordeaceus subsp. longipedicellatus Spalton,"GBOL2491, Blattmaterial entnommen; Georeferenzierung nachträglich","Weicherding,F.-J.",s. n.,2007-05-18,,Germany,"Germany: Saarland. Wemmetsweiler, Heiligenwalder Straße, TK 6608/2. Ruderalstelle. 18.05.2007, Leg.: F. -J. Weicherding s. n.",,,https://www.openstreetmap.org/?mlat=49.3667&mlon=7.08306#map=15/49.3667/7.08306,49.366661071777344,7.083059787750244,"Germany: Saarland. Wemmetsweiler, Heiligenwalder Straße, TK 6608/2. Ruderalstelle.",Bromus hordeaceus subsp. longipedicellatus,Bromus,R. Hand,B 10 0408750,https://herbarium.bgbm.org/object/B100408750
JACQID1081306,,JACQ,ROSACEAE,Potentilla argentea L.,MTB: 3641/2,"Willing,R. & Willing,E.",19393 D,2002-07-13,,Germany,"Brandenburg, SO Schmerzke",,,https://www.openstreetmap.org/?mlat=52.3856&mlon=12.6092#map=15/52.3856/12.6092,52.38555908203125,12.609169960021973,,Potentilla argentea,Potentilla,E.Willing,JACQ-ID 1081306,https://herbarium.bgbm.org/object/JACQID1081306
BGT0014072,,JACQ,ASTERACEAE,Carduus nutans subsp. nutans L.,Voucher in B: B 10 0612373,"Ciongwa,P.",PC 83,2014-07-05,,Germany,"Neuhof, Landkreis Osterode, Magerrasen S Sachsenst./Neuhof.",,,https://www.openstreetmap.org/?mlat=51.5803&mlon=10.5822#map=15/51.5803/10.5822,51.58028030395508,10.582220077514648,,,Carduus,P. Ciongwa,B GT 0014072,https://herbarium.bgbm.org/object/BGT0014072
B300402196,,HERB,Ricciaceae,Riccia bifurca Hoffm.,"Label data transcribed during a <a href=""https://www.herbonauten.de"" target=""_blank"">Herbonauten mission</a>",,5832,,,Germany,"Germany: Hessen. Main-Kinzig-Kreis, Wettges Gem. Birstein, Stoppelacker, Höhe: 450 m. 5832.",,,https://www.openstreetmap.org/?mlat=50.4142&mlon=9.33855#map=15/50.4142/9.33855,50.414207458496094,9.338550567626951,,Riccia bifurca Hoffm.,Riccia,,B 30 0402196,http://herbarium.bgbm.org/object/B300402196
JACQID1073200,,JACQ,APIACEAE,Heracleum sphondylium L.,MTB: 8533/2,"Willing,R. & Willing,E.",15494 D,2001-08-05,,Germany,"Bayern, SW Krün",,,https://www.openstreetmap.org/?mlat=47.4981&mlon=11.2625#map=15/47.4981/11.2625,47.4980583190918,11.262499809265137,,Heracleum sphondylium,Heracleum,E.Willing,JACQ-ID 1073200,https://herbarium.bgbm.org/object/JACQID1073200
JACQID1071273,,JACQ,ROSACEAE,Filipendula ulmaria (L.) Maxim.,MTB:,"Willing,R. & Willing,E.",8930 D,1999-08-07,,Germany,"Bayern, Hasenried",,,https://www.openstreetmap.org/?mlat=47.6633&mlon=10.3675#map=15/47.6633/10.3675,47.663330078125,10.36750030517578,,Filipendula ulmaria,Filipendula,E.Willing,JACQ-ID 1071273,https://herbarium.bgbm.org/object/JACQID1071273
BGT0018988,,BGBM,PLANTAGINACEAE,Plantago strictissima L.,"GBOL, Silikaprobe genommen; beprobtes Exemplar mit * markiert","Hand,R. & Niederbichler,C.",RH 8665,2017-07-23,,Germany,"Germany: Bayern. Wallgau, Isaraue ENE Isarsteg, parallel/S zum Weg. in wechselfeuchter Rinne in Magerweide. Alt.: 852m. 23.07.2017, Leg.: R. Hand & C. Niederbichler RH 8665.",,,https://www.openstreetmap.org/?mlat=47.5189&mlon=11.2994#map=15/47.5189/11.2994,47.518890380859375,11.299449920654297,"Germany: Bayern. Wallgau, Isaraue ENE Isarsteg, parallel/S zum Weg. in wechselfeuchter Rinne in Magerweide.",Plantago strictissima,Plantago,R. Hand,B GT 0018988,https://herbarium.bgbm.org/object/BGT0018988
BGT0008162,,BGBM,CHENOPODIACEAE,Chenopodium urbicum L.,"GBOL, Blattmaterial entnommen; Georeferenzierung nachträglich","Nogat,P.",s. n.,2006-09-07,,Germany,"Germany: Brandenburg, Bad Freienwalde, Tongrube an der Eberswalder Str. 07.09.2006, Leg.: P. Nogat s. n.",,,https://www.openstreetmap.org/?mlat=52.7856&mlon=14.0011#map=15/52.7856/14.0011,52.78556060791016,14.001110076904297,"Germany: Brandenburg, Bad Freienwalde, Tongrube an der Eberswalder Str.",Chenopodium urbicum,Chenopodium,R. Hand,B GT 0008162,https://herbarium.bgbm.org/object/BGT0008162
B100767925,https://iiif.jacq.org/b/?manifest=https://herbarium.bgbm.org/object/B100767925/manifest.json,BGBM,LABIATAE,Melittis melissophyllum L. subsp. melissophyllum,"GBOL, Silikaprobe genommen","Hand,R.",9054,2018-07-04,,Germany,"Germany: Bayern. Gundlfing bei Riedenburg, Hautaleite, am Schulsteig, im Mittelhang. Buchenwald. Alt.: 476 m. 04.07.2018, Leg.: R. Hand 9054.",,,https://www.openstreetmap.org/?mlat=48.9944&mlon=11.6839#map=15/48.9944/11.6839,48.99444961547851,11.683890342712402,"Germany: Bayern. Gundlfing bei Riedenburg, Hautaleite, am Schulsteig, im Mittelhang. Buchenwald.",Melittis melissophyllum subsp. melissophyllum,Melittis,R. Hand,B 10 0767925,https://herbarium.bgbm.org/object/B100767925
BGT0017792,,BGBM,LABIATAE,Clinopodium vulgare L. subsp. vulgare,"GBOL, Silikaprobe genommen","Buttler,K.P.",36633,2016-07-05,,Germany,"Germany: Hessen. Frankfurt-Bergen, Berger Hang, Oberhang c. 250 m WSW der Vogelbeobachtungsstation Untermain . Halbtrockenrasen. 05.07.2016, Leg.: K. P. Buttler 36633. ex herb. / ded. : herb. Karl Peter Buttler.",,,https://www.openstreetmap.org/?mlat=50.1525&mlon=8.77972#map=15/50.1525/8.77972,50.15250015258789,8.779720306396484,"Germany: Hessen. Frankfurt-Bergen, Berger Hang, Oberhang c. 250 m WSW der Vogelbeobachtungsstation Untermain . Halbtrockenrasen.",Clinopodium vulgare subsp. vulgare,Clinopodium,K. P. Buttler,B GT 0017792,https://herbarium.bgbm.org/object/BGT0017792
B100733754,https://iiif.jacq.org/b/?manifest=https://herbarium.bgbm.org/object/B100733754/manifest.json,JACQ,POACEAE,Echinochloa muricata (P. Beauv.) Fernald,MTB: 4138/1/1/1,"Willing,R. & Willing,E.",25122 D,2008-09-11,,Germany,"Sachsen-Anhalt, W Steckby",,,https://www.openstreetmap.org/?mlat=51.8922&mlon=12.0139#map=15/51.8922/12.0139,51.89221954345703,12.013890266418455,,Echinochloa muricata,Echinochloa,E.Willing,B 10 0733754,https://herbarium.bgbm.org/object/B100733754
